code	market	time	pinyin	name
000002	sz	1991-01-29	wkａ	万 科Ａ
000004	sz	1991-01-14	gnkj	国农科技
000005	sz	1990-12-10	sjxy	世纪星源
000006	sz	1992-04-27	szyａ	深振业Ａ
000007	sz	1992-04-13	qxh	全新好
000008	sz	1992-05-07	szgt	神州高铁
000009	sz	1991-06-25	zgba	中国宝安
000010	sz	1995-10-27	mlst	美丽生态
000011	sz	1992-03-30	swy	深物业A
000012	sz	1992-02-28	nbａ	南 玻Ａ
000014	sz	1992-06-02	shgf	沙河股份
000016	sz	1992-03-27	skjａ	深康佳Ａ
000017	sz	1992-03-31	szh	深中华A
000018	sz	1992-06-16	szcc	神州长城
000019	sz	1992-10-12	ssbａ	深深宝Ａ
000020	sz	1992-04-28	shfａ	深华发Ａ
000021	sz	1994-02-02	skj	深科技
000022	sz	1993-05-05	scwａ	深赤湾Ａ
000023	sz	1993-04-29	stdａ	深天地Ａ
000025	sz	1993-06-21	tlａ	特 力Ａ
000026	sz	1993-06-03	fydａ	飞亚达Ａ
000027	sz	1993-09-03	szny	深圳能源
000028	sz	1993-08-09	gyyz	国药一致
000029	sz	1993-09-15	ssfａ	深深房Ａ
000030	sz	1993-09-29	fagf	富奥股份
000031	sz	1993-10-08	zldc	中粮地产
000032	sz	1993-10-28	ssdａ	深桑达Ａ
000034	sz	1994-05-09	szsm	神州数码
000035	sz	1994-04-08	zgty	中国天楹
000036	sz	1994-06-17	hlkg	华联控股
000037	sz	1994-07-01	snda	深南电A
000038	sz	1994-08-08	sdt	深大通
000039	sz	1994-04-08	zjjt	中集集团
000040	sz	1994-08-08	dxlt	东旭蓝天
000042	sz	1994-09-21	zzkg	中洲控股
000043	sz	1994-09-28	zhdc	中航地产
000045	sz	1994-08-15	sfzａ	深纺织Ａ
000046	sz	1994-09-12	fhkg	泛海控股
000048	sz	1994-11-01	kde	康达尔
000049	sz	1995-03-20	dsdc	德赛电池
000050	sz	1995-03-15	stmａ	深天马Ａ
000055	sz	1996-04-15	fdjt	方大集团
000056	sz	1996-07-08	htgj	皇庭国际
000058	sz	1996-12-26	ssg	深 赛 格
000059	sz	1997-01-30	hjgf	华锦股份
000060	sz	1997-01-23	zjln	中金岭南
000061	sz	1997-01-10	ncp	农 产 品
000062	sz	1997-01-30	szhq	深圳华强
000063	sz	1997-11-18	zxtx	中兴通讯
000065	sz	1998-06-05	bfgj	北方国际
000066	sz	1997-06-26	zgcc	中国长城
000068	sz	1997-06-11	hksg	华控赛格
000069	sz	1997-09-10	hqcａ	华侨城Ａ
000070	sz	2000-05-11	tfxx	特发信息
000078	sz	1998-12-18	hwsw	海王生物
000088	sz	1997-07-28	ytg	盐 田 港
000089	sz	1998-04-20	szjc	深圳机场
000090	sz	1999-07-21	tjjt	天健集团
000096	sz	2000-07-24	gjny	广聚能源
000099	sz	2000-07-31	zxhz	中信海直
000100	sz	2004-01-30	tcljt	TCL 集团
000150	sz	2000-08-07	yhjk	宜华健康
000151	sz	2000-09-06	zcgf	中成股份
000153	sz	2000-09-20	fyyy	丰原药业
000155	sz	2000-09-26	ch	*ST川化
000156	sz	2000-09-06	hscm	华数传媒
000157	sz	2000-10-12	zlck	中联重科
000158	sz	2000-07-24	csgf	常山股份
000159	sz	2000-09-26	gjsy	国际实业
000166	sz	2015-01-26	swhy	申万宏源
000301	sz	2000-05-29	dfsc	东方市场
000333	sz	2013-09-18	mdjt	美的集团
000338	sz	2007-04-30	wcdl	潍柴动力
000400	sz	1997-04-18	xjdq	许继电气
000401	sz	1996-06-14	jdsn	冀东水泥
000402	sz	1996-06-26	jrj	金 融 街
000403	sz	1996-06-28	sh	ST生化
000404	sz	1996-06-19	hyys	华意压缩
000407	sz	1996-07-03	slgf	胜利股份
000408	sz	1996-06-28	jy	*ST金源
000409	sz	1996-06-27	sddk	山东地矿
000410	sz	1996-07-18	cyjc	沈阳机床
000411	sz	1996-07-16	ytjt	英特集团
000413	sz	1996-09-25	dxgd	东旭光电
000415	sz	1996-07-16	bhjk	渤海金控
000416	sz	1996-07-19	mskg	民生控股
000417	sz	1996-08-12	hfbh	合肥百货
000418	sz	1997-03-28	xteａ	小天鹅Ａ
000419	sz	1996-08-16	tckg	通程控股
000420	sz	1996-08-02	jlhx	吉林化纤
000421	sz	1996-08-06	njgy	南京公用
000422	sz	1996-08-15	hbyh	湖北宜化
000423	sz	1996-07-29	daaj	东阿阿胶
000425	sz	1996-08-28	xgjx	徐工机械
000426	sz	1996-08-28	xyky	兴业矿业
000428	sz	1996-08-08	htjd	华天酒店
000429	sz	1998-02-20	ygsａ	粤高速Ａ
000430	sz	1996-08-29	zjj	张家界
000488	sz	2000-11-20	cmzy	晨鸣纸业
000498	sz	1997-06-09	sdlq	山东路桥
000501	sz	1992-11-20	ewsａ	鄂武商Ａ
000502	sz	1992-11-23	ljkg	绿景控股
000503	sz	1992-11-30	hhkg	海虹控股
000504	sz	1992-12-08	sw	*ST生物
000505	sz	1992-12-21	zj	*ST珠江
000506	sz	1993-03-12	zrzy	中润资源
000507	sz	1993-03-26	zhg	珠海港
000509	sz	1993-05-07	hskg	华塑控股
000510	sz	1993-05-07	jljt	金路集团
000511	sz	1993-05-18	xt	*ST烯碳
000513	sz	1993-10-28	lzjt	丽珠集团
000514	sz	1993-07-12	ykf	渝 开 发
000516	sz	1993-08-09	gjyx	国际医学
000517	sz	1993-08-06	radc	荣安地产
000518	sz	1993-09-08	shsw	四环生物
000519	sz	1993-10-08	zbhj	中兵红箭
000520	sz	1993-10-25	chfh	长航凤凰
000521	sz	1993-10-18	mldq	美菱电器
000523	sz	1993-11-08	gzlq	广州浪奇
000524	sz	1993-11-18	lnkg	岭南控股
000525	sz	1993-10-28	hty	红 太 阳
000526	sz	1993-11-01	*stzx	*ST紫学
000528	sz	1993-11-18	lg	柳 工
000529	sz	1993-11-18	ghkg	广弘控股
000530	sz	1993-12-08	dlgf	大冷股份
000531	sz	1994-01-06	shyａ	穗恒运Ａ
000532	sz	1994-01-03	lhgf	力合股份
000533	sz	1994-01-03	wjl	万 家 乐
000534	sz	1994-01-10	wzgf	万泽股份
000536	sz	1993-11-26	hykj	华映科技
000537	sz	1993-12-10	gyfz	广宇发展
000538	sz	1993-12-15	ynby	云南白药
000539	sz	1993-11-26	ydlａ	粤电力Ａ
000540	sz	1994-02-02	ztjr	中天金融
000541	sz	1993-11-23	fszm	佛山照明
000543	sz	1993-12-20	wndl	皖能电力
000544	sz	1993-12-08	zyhb	中原环保
000545	sz	1993-12-15	jpty	金浦钛业
000546	sz	1993-12-15	jygf	金圆股份
000547	sz	1993-11-30	htfz	航天发展
000548	sz	1993-12-20	hntz	湖南投资
000550	sz	1993-12-01	jlqc	江铃汽车
000551	sz	1994-01-06	cykj	创元科技
000552	sz	1994-01-06	jymd	靖远煤电
000553	sz	1993-12-03	sldａ	沙隆达Ａ
000554	sz	1993-12-15	tssy	泰山石油
000555	sz	1994-04-08	szxx	神州信息
000557	sz	1994-06-17	xbcy	西部创业
000558	sz	1994-05-09	lyty	莱茵体育
000559	sz	1994-01-10	wxqc	万向钱潮
000560	sz	1994-02-02	kbdａ	昆百大Ａ
000561	sz	1994-05-09	fhdz	烽火电子
000563	sz	1994-01-10	sgtａ	陕国投Ａ
000564	sz	1994-01-10	gxdj	供销大集
000565	sz	1994-04-08	ysxａ	渝三峡Ａ
000566	sz	1994-05-25	hnhy	海南海药
000567	sz	1994-05-25	hdgf	海德股份
000568	sz	1994-05-09	lzlj	泸州老窖
000570	sz	1994-07-01	sccａ	苏常柴Ａ
000571	sz	1994-05-25	xdzａ	新大洲Ａ
000572	sz	1994-08-08	hmqc	海马汽车
000573	sz	1994-08-15	yhyａ	粤宏远Ａ
000576	sz	1994-09-07	gdgh	广东甘化
000581	sz	1998-09-24	wfgk	威孚高科
000582	sz	1995-11-02	bbwg	北部湾港
000584	sz	1995-11-28	ylkg	友利控股
000585	sz	1995-12-13	dbdq	东北电气
000586	sz	1995-12-20	hytx	汇源通信
000587	sz	1996-04-25	jzch	金洲慈航
000589	sz	1996-03-08	qltａ	黔轮胎Ａ
000590	sz	1996-01-19	qdgh	启迪古汉
000591	sz	1996-02-08	tyn	太阳能
000592	sz	1996-03-27	ptfz	平潭发展
000593	sz	1996-03-12	dtrq	大通燃气
000595	sz	1996-04-19	*stbs	*ST宝实
000596	sz	1996-09-27	gjgj	古井贡酒
000597	sz	1996-05-23	dbzy	东北制药
000598	sz	1996-05-29	xrhj	兴蓉环境
000599	sz	1996-04-30	qdsx	青岛双星
000600	sz	1996-06-06	jtny	建投能源
000601	sz	1996-08-30	sngf	韶能股份
000603	sz	1996-08-23	sdky	盛达矿业
000605	sz	1996-09-13	bhgf	渤海股份
000606	sz	1996-10-04	szyq	神州易桥
000607	sz	1996-08-30	hmkg	华媒控股
000608	sz	1996-09-19	yggf	阳光股份
000609	sz	1996-10-10	mstz	绵石投资
000610	sz	1996-09-26	xaly	西安旅游
000611	sz	1996-10-08	ts	*ST天首
000612	sz	1996-09-26	jzwf	焦作万方
000613	sz	1997-01-28	*stdha	*ST东海A
000615	sz	1996-10-16	jhgf	京汉股份
000616	sz	1996-11-08	hhtz	海航投资
000617	sz	1996-10-22	zyzb	中油资本
000619	sz	1996-10-23	hlxc	海螺型材
000620	sz	1996-10-29	xhl	新华联
000622	sz	1996-11-07	hl	*ST恒立
000623	sz	1996-10-28	jlad	吉林敖东
000625	sz	1997-06-10	caqc	长安汽车
000626	sz	1996-11-28	ydkg	远大控股
000627	sz	1996-11-12	tmjt	天茂集团
000628	sz	1996-11-18	gxfz	高新发展
000629	sz	1996-11-15	ft	*ST钒钛
000630	sz	1996-11-20	tlys	铜陵有色
000631	sz	1996-11-22	sfhy	顺发恒业
000632	sz	1996-11-21	smjt	三木集团
000633	sz	1996-11-12	hj	*ST合金
000635	sz	1996-11-20	ylt	英 力 特
000636	sz	1996-11-29	fhgk	风华高科
000637	sz	1996-11-14	mhsh	茂化实华
000638	sz	1996-11-26	wffz	万方发展
000639	sz	1996-11-26	xwsp	西王食品
000650	sz	1996-12-10	rhyy	仁和药业
000651	sz	1996-11-18	gldq	格力电器
000652	sz	1996-11-28	tdgf	泰达股份
000655	sz	1996-11-28	jlky	金岭矿业
000656	sz	1996-11-28	jkgf	金科股份
000657	sz	1996-12-05	zwgx	中钨高新
000659	sz	1996-12-03	zhzf	珠海中富
000661	sz	1996-12-18	ccgx	长春高新
000662	sz	1996-12-16	txzh	天夏智慧
000663	sz	1996-12-06	yaly	永安林业
000665	sz	1996-12-10	hbgd	湖北广电
000666	sz	1996-12-10	jwfj	经纬纺机
000667	sz	1996-12-05	mhzy	美好置业
000668	sz	1996-12-10	rfkg	荣丰控股
000669	sz	1996-12-10	jhny	金鸿能源
000670	sz	1996-12-17	yfw	盈方微
000671	sz	1996-12-18	ygc	阳 光 城
